Variable,Description,Response_Values,Sheet_Source
Q11_7,Most useful thing about the tool (if thought it useful),NA,postpartum_survey
Q11_8,Referred to the tool to find answers to questions?,1=Yes 2=No,postpartum_survey
Q11_9,Did tool answer question?,"1=Yes 2=Partially answered question, 3=No",postpartum_survey
Q11_10,Learn anything new from tool?,1=Yes 2=No,postpartum_survey
Q11_11,One thing learned from tool,NA,postpartum_survey
Q11_12,Did tool help you plan maternity leave?,1=Yes 2=No,postpartum_survey
Q11_13,One way tool helped you plan maternity leave,NA,postpartum_survey
Q11_14,Did you change your maternity leave plans based on information from tool?,1=Yes 2=No,postpartum_survey
Q11_15,Took tool to any meeting with employer/HR or doctor?,1=Yes 2=No,postpartum_survey
Q11_16,Called any phone numbers or visit any websites listed on tool?,1=Yes 2=No,postpartum_survey
Q11_17,One thing recommend we change to make tool more useful,NA,postpartum_survey
Q11_18,"BEFORE received tool, how much knew about maternity leave?","1=A lot, 2=Some, 3=A little, 4=Nothing, 5=I don't know",postpartum_survey
Q12_2_1,Self-reported race/ethnicity--White or Caucasian,"1=selected, missing=not selected",postpartum_survey
Q12_2_2,Self-reported race/ethnicity--Black or African American,"1=selected, missing=not selected",postpartum_survey
Q12_2_3,Self-reported race/ethnicity--Latino or Hispanic,"1=selected, missing=not selected",postpartum_survey
Q12_2_4,Self-reported race/ethnicity--Asian,"1=selected, missing=not selected",postpartum_survey
Q12_2_5,Self-reported race/ethnicity--American Indian or Alaskan Native,"1=selected, missing=not selected",postpartum_survey
Q12_2_6,Self-reported race/ethnicity--Other Pacific Islander,"1=selected, missing=not selected",postpartum_survey
Q12_2_7,Self-reported race/ethnicity--Native Hawaiian,"1=selected, missing=not selected",postpartum_survey
Q12_2_8,Self-reported race/ethnicity--Other,"1=selected, missing=not selected",postpartum_survey
Q12_2_8_TEXT,Self-reported race/ethnicity--Other--TEXT,NA,postpartum_survey
Q12_3,Born in U.S?,1=Yes 2=No,postpartum_survey
Q12_4,Years lived in US,NA,postpartum_survey
Q12_5,Highest level of education completed,"1=Never attended school or only attended kindergarten, 2=Grades 1 through 8 (Elementary), 3=Grades 9 through 11 (Some high school), 4=Grade 12 or GED (High school graduate), 5=College 1 year to 3 years (Some college or technical school), 6=College 4 years or more (College graduate), 9=Graduate or professional school, 7=Other",postpartum_survey
Q12_5_TEXT,Highest level of education completed--TEXT,NA,postpartum_survey
Q12_6,Marital status,"1=Married, 2=Living with a partner, 3=Widowed, 4=Divorced, 5=Separated, 6=Never married",postpartum_survey
Q12_7,Household income,"1=Less than $10,000,  2=$10,000  -  $29,999, 3=$30,000  -  $49,999, 4=$50,000 - $74,999, 5=$75,000 - $99,999, 6=$100,000 - 149,999, 7=$150,000 or more",postpartum_survey
V7,Status,NA,tool_use_survey
V8,StartDate,NA,tool_use_survey
V9,EndDate,NA,tool_use_survey
V10,Finished,NA,tool_use_survey
SID,SID,DELETE,tool_use_survey
Token,Token,DELETE,tool_use_survey
Amount,Amount,DELETE,tool_use_survey
Contact,Contact,DELETE,tool_use_survey
code,code,DELETE,tool_use_survey
Q44,Thank you for taking part in our study. This short survey will help us evaluate an educational hando...,DELETE,tool_use_survey
Q34,"We&#39;ll start with some questions about this handout called, Maternity Leave: What s Best for You...",DELETE,tool_use_survey
Q11.2,Remember getting tool?,1=Yes 2=No,tool_use_survey
Q11.3,Read or referred to tool?,1=Yes 2=No,tool_use_survey
Q11.4,Number of many times looked at tool,"1=1-2 times, 2=3-4 times, 3=5 or more times, 4=I don't know",tool_use_survey
Q33,"If you'd like to review the handout again to refresh your memory, click on ""Maternity leave educatio...",DELETE,tool_use_survey
Q11.5,Tool easy to understand?,"1= Very hard to understand, 2= Somewhat hard to understand, 3=Somewhat easy to understand, 4= Very easy to understand, 5=I don't know",tool_use_survey
Q11.6,Usefulness of tool,"1=Very useful, 2=Somewhat useful, 3=Not very useful, 4=Not at all useful, 5=I don't know",tool_use_survey
Q11.7,Most useful thing about the tool (if thought it useful),NA,tool_use_survey
Q11.8,Referred to the tool to find answers to questions?,1=Yes 2=No,tool_use_survey
Q11.9,Did tool answer question?,"1=Yes 2=Partially answered question, 3=No",tool_use_survey
Q11.10,Learn anything new from tool?,1=Yes 2=No,tool_use_survey
Q11.11,One thing learned from tool,NA,tool_use_survey
Q11.12,Did tool help you plan maternity leave?,1=Yes 2=No,tool_use_survey
Q11.13,One way tool helped you plan maternity leave,NA,tool_use_survey
Q11.14,Did you change your maternity leave plans based on information from tool?,1=Yes 2=No,tool_use_survey
Q11.15,Took tool to any meeting with employer/HR or doctor?,1=Yes 2=No,tool_use_survey
Q11.16,Called any phone numbers or visit any websites listed on tool?,1=Yes 2=No,tool_use_survey
Q11.17,One thing recommend we change to make tool more useful,NA,tool_use_survey
Q11.18,"BEFORE received tool, how much knew about maternity leave?","1=A lot, 2=Some, 3=A little, 4=Nothing, 5=I don't know",tool_use_survey
Q35,"Please take a moment now to look over this handout called, ‚ÄúMaternity Leave: What‚Äôs Best for You and...",DELETE,tool_use_survey
Q150,Tool easy to understand? (DIDN'T READ BEFOREHAND),"1= Very hard to understand, 2= Somewhat hard to understand, 3=Somewhat easy to understand, 4= Very easy to understand, 5=I don't know",tool_use_survey
Q152,Usefulness of tool (DIDN'T READ BEFOREHAND),"1=Very useful, 2=Somewhat useful, 3=Not very useful, 4=Not at all useful, 5=I don't know",tool_use_survey
Q154,Most useful thing about the tool (if thought it useful) (DIDN'T READ BEFOREHAND),NA,tool_use_survey
Q158,handout answer any questions you've had? (DIDN'T READ BEFOREHAND),1=Yes 2=No,tool_use_survey
Q160,Learn anything new from tool? (DIDN'T READ BEFOREHAND),1=Yes 2=No,tool_use_survey
Q162,One thing learned from tool (DIDN'T READ BEFOREHAND),NA,tool_use_survey
Q177,Would tool have helped you plan maternity leave? (DIDN'T READ BEFOREHAND),1=Yes 2=No,tool_use_survey
Q170,Would have taken tool to any meeting with employer/HR or doctor? (DIDN'T READ BEFOREHAND),1=Yes 2=No,tool_use_survey
Q172,Would have called any phone numbers or visit any websites listed on tool? (DIDN'T READ BEFOREHAND),1=Yes 2=No,tool_use_survey
Q174,One thing recommend we change to make tool more useful (DIDN'T READ BEFOREHAND),NA,tool_use_survey
Q176,"BEFORE received tool, how much knew about maternity leave? (DIDN'T READ BEFOREHAND)","1=A lot, 2=Some, 3=A little, 4=Nothing, 5=I don't know",tool_use_survey
Q45,Thank you for your participation! We value your time and input. You will receive a code for a $10 Am...,DELETE,tool_use_survey
paidpplv,NUMBER OF PAID WEEKS POSTPARTUM LEAVE (combined for those returned and not yet returned to work),NA,created_vars
satis_pp,SATISFACTION WITH AMOUNT OF POSTPARTUM LEAVE (combined for those returned and not yet returned to work),NA,created_vars
dtreturnwk,DATE RETURN TO WORK (combined for those returned and not yet returned to work),NA,created_vars
dtenrolled,Date enrolled in study (reformatted 'datetaken' var),NA,created_vars
wkslateearly,weeks late or early,NA,created_vars
wksgest,weeks gestation at birth,NA,created_vars
wkspregenroll,weeks pregnant when enrolled in study,NA,created_vars
wkspregleavebeg,weeks pregnant when began antenatal leave,NA,created_vars
wksantelv,weeks of antenatal leave,NA,created_vars
wkspplv,weeks of postpartum leave,NA,created_vars
grams,birthweight in grams,NA,created_vars
pntalcare,trimester entered into prenatal care,0=no prenatal care 1=3rd trimester 2=2nd trimester 3=1st trimester,created_vars
Agecat,categorical age variable,1=18-29 2=30-39 3=40+,created_vars
trimester,Trimester enrolled in study,1=2nd trimester 2=3rd trimester,created_vars
lbw,Low birthweight (<2500 g),"1=""Low birth weight"" 0=""Not low birth weight""",created_vars
preterm,Preterm birth (<37 weeks gestation),"1=""Preterm birth"" 0=""Full term birth""",created_vars
numpregs,Number of pregnancies (categorical),"1=1, 2=2-3, 3=4 or more",created_vars
numbirths,Number of births (categorical),"1=1, 2=2-3, 3=4 or more",created_vars
intendedantelv,Intended antenatal leave (due date-last day of work),NA,created_vars
intendedantelv_rev,Intended antenatal leave (due date-last day of work); for those with planned c-section calculated as actual antenatal leave instead,NA,created_vars
inccat,Collapsed income variable,NA,created_vars
educcat,Collapsed education variable,NA,created_vars
hourscollapsed,Collapsed work hours variable,NA,created_vars
antelv1wk,Took at least 1 week antenatal leave,0=took less than a week 1=took at least a week,created_vars
reta8wks,"took at least 8 weeks of postnatal leave 
 (for those who returned to work already  OR who who took survey after 2 months);
Note: 2 people said they took no postpartum leave; one said she was laid off during pregnancy; decided
to omit these two people instead of counting as <8 weeks leave since not sure if accurate",0=took less than 8 weeks 1=took at least 8 weeks,created_vars
readtool,reported reading tool (controls coded as 0),"0=""did not read tool"" 1=""read tool"";",created_vars
treatment3cat,3 groups combining treatment group and if read tool,"0=""control"" 1=""intervention/didn't read tool"" 2=""intervention/read tool""",created_vars
Age2cat,categorical age variable (2 categories),1=18-29 2=30+,created_vars
wkparttime,worked part time vs. full time,0=worked 31+ hours 1=worked 1-30 hours,created_vars
notreadtool,didn't read tool (indicator variable for log reg),"0=control OR intervention but read tool, 1=intervention and did NOT read tool",created_vars
VARIABLES BELOW WERE RECODED TO CHANGE MISSINGS TO '0' TO ALLOW FOR RUNNING CHI SQUARE (ORIGINALLY MISSING IF NOT CHOSEN (BINARY VAR)),NA,NA,created_vars
Q10_2_1N,"Source of information about maternity leave--From friends, family, or co-workers","1=selected, 0=not selected",created_vars
Q10_2_2N,Source of information about maternity leave-- From doctor,"1=selected, 0=not selected",created_vars
Q10_2_3N,Source of information about maternity leave-- From employer/human resources,"1=selected, 0=not selected",created_vars
Q10_2_4N,Source of information about maternity leave-- From the internet,"1=selected, 0=not selected",created_vars
Q10_2_5N,"Source of information about maternity leave-- From TV, radio or newspapers","1=selected, 0=not selected",created_vars
Q10_2_6N,Source of information about maternity leave-- From written materials,"1=selected, 0=not selected",created_vars
Q10_2_7N,Source of information about maternity leave--didn't get any information about maternity leave,"1=selected, 0=not selected",created_vars
Q10_2_8N,Source of information about maternity leave--Other,"1=selected, 0=not selected",created_vars
Q12_2_1N,Self-reported race/ethnicity--White or Caucasian,"1=selected, 0=not selected",created_vars
Q12_2_2N,Self-reported race/ethnicity--Black or African American,"1=selected, 0=not selected",created_vars
Q12_2_3N,Self-reported race/ethnicity--Latino or Hispanic,"1=selected, 0=not selected",created_vars
Q12_2_4n,Self-reported race/ethnicity--Asian,"1=selected, 0=not selected",created_vars
Q12_2_5N,Self-reported race/ethnicity--American Indian or Alaskan Native,"1=selected, 0=not selected",created_vars
Q12_2_6N,Self-reported race/ethnicity--Other Pacific Islander,"1=selected, 0=not selected",created_vars
Q12_2_7N,Self-reported race/ethnicity--Native Hawaiian,"1=selected, 0=not selected",created_vars
Q12_2_8N,Self-reported race/ethnicity--Other,"1=selected, 0=not selected",created_vars
Q6_10_1N,Source of antenatal leave pay-- sick days,"1=selected, 0=not selected",created_vars
Q6_10_2N,Source of antenatal leave pay-- vacation time,"1=selected, 0=not selected",created_vars
Q6_10_3N,Source of antenatal leave pay--PTO,"1=selected, 0=not selected",created_vars
Q6_10_4N,Source of antenatal leave pay-- private disability insurance,"1=selected, 0=not selected",created_vars
Q6_10_5N,Source of antenatal leave pay--employer gave extra paid time off for maternity leave,"1=selected, 0=not selected",created_vars
Q6_10_6N,Source of antenatal leave pay--SDI,"1=selected, 0=not selected",created_vars
Q6_12_1N,"Reasons decided to work through pregnancy, up until delivery--felt good","1=selected, 0=not selected",created_vars
Q6_12_2N,"Reasons decided to work through pregnancy, up until delivery--wanted more time with baby after birth","1=selected, 0=not selected",created_vars
Q6_12_3N,"Reasons decided to work through pregnancy, up until delivery--employer did not offer maternity leave","1=selected, 0=not selected",created_vars
Q6_12_4N,"Reasons decided to work through pregnancy, up until delivery--needed the money","1=selected, 0=not selected",created_vars
Q6_12_5N,"Reasons decided to work through pregnancy, up until delivery--was worried might lose my job if took leave","1=selected, 0=not selected",created_vars
Q6_12_6N,"Reasons decided to work through pregnancy, up until delivery--afraid taking leave would hurt opportunities for advancement","1=selected, 0=not selected",created_vars
Q6_12_7N,"Reasons decided to work through pregnancy, up until delivery—didn’t know could take maternity leave before baby was born","1=selected, 0=not selected",created_vars
Q6_12_8N,"Reasons decided to work through pregnancy, up until delivery--had baby early before planned leave could start","1=selected, 0=not selected",created_vars
Q6_12_9N,"Reasons decided to work through pregnancy, up until delivery--Other","1=selected, 0=not selected",created_vars
Q6_12_10N,"Reasons decided to work through pregnancy, up until delivery--no one to cover for me at work","1=selected, 0=not selected",created_vars
Q6_7_1N,Reasons took antenatal leave--Thought the baby might come early,"1=selected, 0=not selected",created_vars
Q6_7_2N,Reasons took antenatal leave--To prepare for the birth of my child,"1=selected, 0=not selected",created_vars
Q6_7_3N,Reasons took antenatal leave-- commute to work too long,"1=selected, 0=not selected",created_vars
Q6_7_4N,Reasons took antenatal leave--Laid off as a result of pregnancy,"1=selected, 0=not selected",created_vars
Q6_7_5N,Reasons took antenatal leave--could collect pregnancy disability through SDI,"1=selected, 0=not selected",created_vars
Q6_7_6N,Reasons took antenatal leave--Medical complications due to pregnancy,"1=selected, 0=not selected",created_vars
Q6_7_7N,Reasons took antenatal leave--Difficulty in carrying out work due to pregnancy,"1=selected, 0=not selected",created_vars
Q6_7_8N,Reasons took antenatal leave--Other,"1=selected, 0=not selected",created_vars
Q6_7_9N,Reasons took antenatal leave--Laid off for another reason,"1=selected, 0=not selected",created_vars
Q6_7_15N,Reasons took antenatal leave--wanted to rest before the baby came,"1=selected, 0=not selected",created_vars
Q6_7_16N,Reasons took antenatal leave--thought it would be better for baby's health,"1=selected, 0=not selected",created_vars
Q7_11_1N,Source of postpartum leave pay-- sick days,"1=selected, 0=not selected",created_vars
Q7_11_2N,Source of postpartum leave pay-- vacation time,"1=selected, 0=not selected",created_vars
Q7_11_3N,Source of postpartum leave pay-- PTO,"1=selected, 0=not selected",created_vars
Q7_11_4N,Source of postpartum leave pay-- private disability insurance,"1=selected, 0=not selected",created_vars
Q7_11_5N,Source of postpartum leave pay--employer gave extra paid time off for maternity leave,"1=selected, 0=not selected",created_vars
Q7_11_6N,Source of postpartum leave pay--SDI,"1=selected, 0=not selected",created_vars
Q7_8_1N,Reasons influencing amount of postpartum leave--collect pregnancy disability pay through SDI,"1=selected, 0=not selected",created_vars
Q7_8_2N,Reasons influencing amount of postpartum leave-- employer offered maternity leave benefits,"1=selected, 0=not selected",created_vars
Q7_8_3N,Reasons influencing amount of postpartum leave--Other,"1=selected, 0=not selected",created_vars
Q7_8_4N,Reasons influencing amount of postpartum leave--wanted more time to breastfeed baby,"1=selected, 0=not selected",created_vars
Q7_8_5N,Reasons influencing amount of postpartum leave--wanted more bonding time with baby,"1=selected, 0=not selected",created_vars
Q7_8_7N,Reasons influencing amount of postpartum leave--wanted to save on child care costs,"1=selected, 0=not selected",created_vars
Q7_8_9N,Reasons influencing amount of postpartum leave--wanted to return to work,"1=selected, 0=not selected",created_vars
Q7_8_10N,Reasons influencing amount of postpartum leave--employer wanted me to return to work,"1=selected, 0=not selected",created_vars
Q7_8_11N,Reasons influencing amount of postpartum leave--couldn't afford to take more time off,"1=selected, 0=not selected",created_vars
