Bogen / Sheet;Dein Geschlecht / Your Gender:;In welchem Fachsemester studierst du gerade? / What semester are you currently in?;Der Aufbau / die Struktur des Kurses hat mir sehr gut gefallen. / I liked the structure of the course very much. ;Die Lernziele des Kurses waren klar formuliert. / The courses' learning objectives were framed clearly. ;Den Tutor habe ich fachlich als sehr kompetent empfunden. / I found to tutor to be very competent. ;Vom Feedback des Tutors habe ich sehr profitiert. / I have benefited greatly from the tutor's feedback.;Dass der Kurs von studentischen Tutoren geleitet wird, gefällt mir sehr gut. / I like the fact that the course is led by student tutors very much.;War in dem Kurs ein/e ärztliche/r Dozent/in oder eine medizinische Fachkraft anwesend? / Was a medical lecturer or a medical professional present during the course?;Seine/Ihre Anwesenheit war sehr gewinnbringend. / His/her presence was very profitable.;Die Gruppengröße war: / The group size was:;Wenn du den Kurs gestalten solltest, (wie) würdest du das Verhältnis von Theorie und Praxis verändern? / If you were to design the course, (how) would you change the relationship between theory and practice? ;Fandest du das Niveau des Kurses dem Wissen eines Studenten im fünften Semester angemessen? / Did you find the level of the course appropriate to the knowledge of a 5th semester student?;Die im Kurs angesprochenen theoretischen Aspekte waren für das Erlernen der praktischen Fertigkeit sehr relevant. / The theoretical aspects addressed in the course were highly relevant for learning the practical skills.;Durch den Kurs habe ich sehr viel mehr Sicherheit in der Durchführung / Abfolge der vermittelten Fertigkeiten erlangt. / Through the course I have gained much more confidence in the execution / sequence of the skills taught.;Ich habe die gelehrten Inhalte in meiner bisherigen Ausbildung bereits ausreichend in Praxis gesehen. / In my previous training, I have already sufficiently seen  the contents of the course.;Ich habe die gelehrten Inhalte in meiner bisherigen Ausbildung bereits ausreichend mit Erklärungen demonstriert bekommen. / In my previous training, I have already been sufficiently shown and explained the contents of the course.;Ich habe die gelehrten Inhalte in meiner bisherigen Ausbildung bereits ausreichend am Patienten ausgeführt. / In my previous training, I have already sufficiently performed the contents of the course on patients. ;Im Rahmen welcher konkreten Veranstaltungen? / In the context of which specific courses?;Wie würdest du den Kurs abschließend bewerten? (Schulnote) / How would you rate the course in conclusion? (school grade);Was war gut? / What was good?;Was könnte besser sein? / What could be improved?
;"1 = ""male""; 2 = ""female""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"1 = ""yes"", 2 = ""no""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"1 = perfect; 2 = too big; 3 = too small";"1 = ""a lot more practice""; 2 = ""a bit more practice""; 3 = ""I wouldn't change anything""; 4 = ""a bit more theory""; 5 = ""a lot more theory""";"1 = ""a lot too easy""; 2 = ""a bit too easy""; 3 = ""appropriate""; 4 = ""a bit too hard""; 5 = ""a lot too hard""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";"6-point Likert scale, 1 = ""I agree completely"", 6 = ""I disagree completely""";Free-text response;"German school grades: 1 = very good; 2 = good, 3 = satisfactory, 4 = sufficient, 5 = poor, 6 = deficient";Free-text response;Free-text response
;;;;;;;;;;;;;;;;;;;;;
1;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;5;4;6;"In der Einführung in die Klinische Medizin klang manchmal Anamnese und körperliche Untersuchung an, aber die Praxis blieb auf Grund der Gruppengröße auf der Strecke. / In the course ""Introduction to Clinical Medicine"" anamnesis and physical examination were sometimes mentioned, but the practice fell by the wayside due to the size of the group.";1;;
2;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;6;4;6;;1;Lockere Atmosphäre, keine Angst etwas falsch zu machen, freundlich, kompetent, aufmerksam / relaxed atmosphere, no fear of doing something wrong, friendly, competent, attentive;mehr Zeit / more time
3;Information removed;Information removed;1;1;1;2;1;2;;1;3;3;2;2;4;2;6;Anatomie Seminar, Physiologiepraktikum / preclinical courses in anatomy and physiology;1;;
4;Information removed;Information removed;2;2;2;3;1;2;;1;;3;2;2;4;4;5;;2;Lockere Atmosphäre, keine Distanz zwischen Studenten und Leiter, freie Äusserungen / relaxed atmosphere, no distance between students and tutor, open comments;
5;Information removed;Information removed;1;2;1;4;1;2;;1;3;3;1;2;6;6;6;;1;;
6;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;5;5;6;Einführung in die Klinik (Vorklinik) / Introduction to clinical medicine;1;sehr gute Atmosphäre, sympatischer Kursleiter, kleine Gruppengröße, sehr gute Ausrüstung / very good atmosphere, friendly tutor, small group, very good equipment;
7;Information removed;Information removed;1;1;2;2;1;2;;1;3;3;2;3;6;4;6;Anatomie mit klinischen Bezügen (in Berlin) / anatomy class;1;sehr kleine Gruppengröße, genug Zeit für Fragen, lockere Atmosphäre / very small group size, enough time for questions, relaxed atmosphere;Dass der Tutor noch mehr überprüft, was ich mache (z.B. wo genau ich das Stethoskop aufsetze) / That the tutor checks even more what I do (e.g. where exactly I put the stethoscope)
8;Information removed;Information removed;1;1;1;2;3;2;;1;3;3;2;3;5;5;5;Physio-Praktikum, Anatomie-Seminar / preclinical courses in anatomy and physiology;2;Tutor kompetent und sympathisch, gute Erklärungen, für den Anfang nicht zu viel und nicht zu wenig Stoff / Tutor competent and friendly, good explanations, for the beginning not too much and not too little material;Zeit war etwas knapp bemessen. / Time was a little short.
9;Information removed;Information removed;1;1;1;2;1;2;;1;3;3;4;2;6;5;6;;1;angemessenes Verhältnis zw. Wiederhohlung von Erlerntem und neuen Infos, geduldiger, interessierter u. kompetenter Tutor / appropriate ratio between repetition of learned and new information,  tutor was patient, interested and competent; Für Studenten mit Kindern (wie  mir) sind die angebotenen Zeiten nur schwer einzurichten /  For students with children (like me) the offered times are difficult to arrange.
10;Information removed;Information removed;2;3;2;2;1;2;;1;3;3;2;2;3;4;6;Pflegepraktikum / nursing placement;2;;
11;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;2;3;3;6;5;Einführung in die klinische Medizin Praktikum in der Allgemeinmedizin / introduction to clinical medicine, block placement general medicine;1;engagierter Student / dedicated student tutor;
12;Information removed;Information removed;1;3;2;3;2;2;;1;2;3;1;3;5;5;5;einführung in die klinische Medizin;2;guter und freundlicher Tutor / competent and friendly tutor;mehr Hilfe beim praktischen Ausführen / more help with the practical execution 
13;Information removed;Information removed;1;2;1;2;2;2;;1;3;3;1;2;3;4;6;Zivildienst auf der ITS, nur zugeschaut, damals keine praktische Tätigkeit. / civil service on an ICU, but I only watched and did not gain practical experience;1;Angenehme Durchführung, gegenseitige praktische Übungen an Kommilitonen. Angemessenes Arbeitstempo und Zeitraum für Rückfragen. Aufgrund der Durchführung durch Studenten Treffen auf Augenhöhe. die Schwelle, Fragen zu stellen oder Antworten zu geben ist damit niedrig. Gut so. / Pleasant execution, mutual practical exercises with fellow students, appropriate work pace and time for questions. Because the course is held by a student tutor, we met at eye level. The threshold to ask questions or give answers is therefore low. This is good.;Aus Interesse hätte ich gern pathologische Klappengeräusche am Simulator gehört - im Freundeskreis ist sowas (zum Glück) schwierig zu finden / Out of curiosity, I would have liked to hear pathological heart murmurs on the simulator - luckily, it's difficult to find something like that among friends
14;Information removed;Information removed;1;1;2;1;2;2;;1;3;3;2;2;5;6;6;Einführung in die klinische Medizin / Introduction to clinical medicine;2;;
15;Information removed;Information removed;1;2;1;1;1;2;;1;3;3;1;2;4;5;6;Einführing in die klinische Medizin / Introduction to clinical medicine;1;sehr angenehmer Tutor auf Fragen der Studenten sehr gut eingegangen und eigene Lösungsansätze gefordert / very pleasant tutor, he responded very well to students' questions and demanded own solutions ;etwas mehr Zeit zum Auskultieren ein pathologisches Beispiel anbringen / A little more time to auscultate, give a pathological example
16;Information removed;Information removed;1;2;1;1;2;2;;1;3;3;1;2;5;3;6;;1;;mehr Zeit / more time
17;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;1;1;1;3;Pflegepraktikum und Einführung in die klinische Medizin im Herzzentrum / nursing placement and introduction to clinical medicine;1;alles / everything;nichts / nothing
18;Information removed;Information removed;1;3;1;1;1;2;;1;3;3;1;2;6;5;6;höchstens im praktikum / at most at a placement;1;lockere Stimmung / relaxed atmosphere;handout oder online pdf zum nachlesen. / handout or online pdf to read. 
19;Information removed;Information removed;1;1;1;2;1;2;;1;3;3;2;2;5;5;6;;1;Der Tutor war sehr engagiert und hat genau angemessen uns das Wissen vermittelt und üben lassen. / The tutor was very dedicated and gave us exactly the right amount of theory and time to practice.;Der Kurs könnte ruhig noch etwas länger sein, damit man noch mehr üben kann. Aber das ist kein Muss, die zur Verfügung stehende Zeit war trotzdem ok. / The course could easily be a little longer so that you can practice even more. But this is not a must, the time available was still ok.
20;Information removed;Information removed;1;2;1;1;1;2;;1;4;3;1;2;3;3;5;Pflegepraktium / nursing placement;1;nette Atmosphäre, kein Druck. / friendly atmosphere, no pressure. ;etwas mehr informationen, vielleicht mehr üben, rotieren an den verschiedenen personen, handout / some more information, maybe more practice, rotate on the different people, handout.
21;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;2;3;3;Einführung in die klinische medizin, pflegepraktikum / introduction to clinical medicine, nursing placement;1;Tutor hat alle Fragen ausführlich und gut verständlich erklärt / Tutor explained all questions in detail and in an easily understandable way;
22;Information removed;Information removed;1;1;1;2;1;2;;1;3;3;1;2;3;3;3;Einführ. i. die Klinik / Introduction to clinical medicine;1;gegenseitiges Untersuchen / examining one another;
23;Information removed;Information removed;1;1;1;2;1;2;;2;2;3;1;1;6;4;6;;1;;
24;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;1;6;4;6;;1;;
25;Information removed;Information removed;1;1;1;1;1;2;;1;2;3;2;3;4;6;5;Einführung in die klinische Medizin / Introduction to clinical medicine;1;Kleine Gruppe, nette Klima / small group, friendly atmosphere;Mehr Zeit, 90-100 Minuten / More time, 90-100 minutes
26;Information removed;Information removed;1;1;1;2;1;2;;1;3;3;1;1;6;4;6;;1;der sehr engagierte tutor :) / the very dedicated tutor :);
27;Information removed;Information removed;2;2;1;2;1;2;;1;1;3;2;3;4;4;5;Einführing in die klinische Medizin / Introduction to clinical medicine;2;Der Tutor war kompetent und begeistert / The tutor was competent and enthusiastic;Mehr Zeit für praktisches Üben und Auswerten. / More time for practical training and evaluation. 
28;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;1;5;5;6;;1;alles / everything;nichts / nothing
29;Information removed;Information removed;1;1;1;1;1;2;;1;3;2;1;2;5;5;5;Physiologiepraktikum / preclinical course in physiology;1;sehr motivierter Kursleiter, der auch lobt / very motivated tutor, who also praises;mehr Zeit / more time
30;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;1;4;6;5;"Wahlfach Hausärztliche Praxis, Praktikum in einer Hausärztlichen Praxis / Elecive subject ""general practice"", placement at a GP";1;;
31;Information removed;Information removed;2;1;1;1;1;2;;1;3;3;2;2;3;4;4;Praktikum, Famulatur / placement, elective;2;;
32;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;1;5;5;6;;1;angenehme Atmosphäre, zeitlich genau richtig (Länge des Kurses), sehr netter Tutor, genau angemessene Praxis / pleasant atmosphere, perfect length of the course, very nice tutor, exactly adequate practice;
33;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;5;5;6;Einführung in die Klinik / Introduction to clinical medicine;1;Ausführliche Erklärungen. Auf Dinge begrenzt, die man sich auch merken kann. Gutes eingehen auf Fragen, gutes Umgehen bei nicht wissen oder falscher Antwort / detailed explanations. limited to things that can be remembered. good response to questions, good handling of not knowing or wrong answers;eine kurze Zusammenfassung auf Papier zum mitnehmen. / a short summary on paper to take with you.
34;Information removed;Information removed;2;1;1;2;1;2;;1;3;3;2;2;5;5;6;;2;"Engagement des Tutors,  Kurs war sehr gut strukturiert ""Mr.K"" / commitment of the tutor, course was very well structured. ""Mr.K""";Handout wäre hilfreich / A handout would be helpful.
35;Information removed;Information removed;2;2;1;1;1;2;;1;3;3;2;3;5;5;6;;1;Leichter Einstieg/ Kein Vorwissen nötig. Schnell und ansprechend erklärt (theoretisch & praktisch). Lockere Didaktik / Easy introduction / no previous knowledge necessary. Quick and appealing explanations (theoretical & practical). Relaxed didactics;längerer Kurs (zu viel Zeitnot, vieles nur angesprochen/vorgeführt ...) / course could be longer (too much time pressure, many things only mentioned/demonstrated ...)
36;Information removed;Information removed;1;1;1;1;1;2;;1;3;3;1;2;6;6;6;;1;super Erklärungen, Bezug zu Praxisanwendung / great explanations, reference to practical application;
37;Information removed;Information removed;1;1;1;1;2;2;;1;2;3;2;2;6;5;6;;1;Sehr kompetenter und sympathischer Tutor, hat die Stunde sehr locker gestalltet. Waren drei Leute, was eine klasse und sehr Porduktive Größe darstellt. / Very competent and likeable tutor, kept the class very relaxed. There were three people, which is a great and very productive size.;
38;Information removed;Information removed;1;1;1;2;1;2;;1;4;3;1;2;6;5;6;;1;Üben am Phantom. Atmosphäre. / Practicing on the Phantom. Atmosphere.;Nichts, alles sehr, sehr gut!!! / Nothing, everything was great!